original_category,suggested_category,records
人工智能 / AIGC / AIGC,人工智能与机器人 / 生成式与多模态,2
人工智能 / LLM / LLM,人工智能与机器人 / 大语言模型与智能体,12
人工智能 / RAG / RAG,人工智能与机器人 / 大语言模型与智能体,7
人工智能 / RL / DGM,人工智能与机器人 / 生成式与多模态,1
人工智能 / RL / DL / CS231n,人工智能与机器人 / 深度学习,2
人工智能 / RL / DL / 其他,人工智能与机器人 / 深度学习,6
人工智能 / RL / DRL / CMU10414,人工智能与机器人 / 强化学习,1
人工智能 / RL / DRL / CS285,人工智能与机器人 / 强化学习,5
人工智能 / RL / DRL / 其他,人工智能与机器人 / 强化学习,1
人工智能 / RL / DRL / 王树森,人工智能与机器人 / 强化学习,13
人工智能 / RL / ML,人工智能与机器人 / 机器学习基础,7
人工智能 / RL / RL,人工智能与机器人 / 强化学习,2
人工智能 / 具身智能 / 具身智能,人工智能与机器人 / 具身智能与机器人,5
人工智能 / 多模态 / 多模态,人工智能与机器人 / 生成式与多模态,4
人工智能 / 教程 / 教程,人工智能与机器人 / 大语言模型与智能体,4
人工智能 / 算法 / 算法,人工智能与机器人 / AI工程与系统,1
人工智能 / 算法 / 算法,人工智能与机器人 / 大语言模型与智能体,2
人工智能 / 算法 / 算法,人工智能与机器人 / 强化学习,4
人工智能 / 算法 / 算法,人工智能与机器人 / 机器学习基础,2
人工智能 / 算法 / 算法,人工智能与机器人 / 深度学习,2
人工智能 / 算法 / 算法,计算机科学基础 / 数据库与编译,1
人工智能 / 算法 / 算法,计算机科学基础 / 编程与算法,3
学习成长 / AI / AI,人工智能与机器人 / AI工程与系统,4
学习成长 / AI / AI,人工智能与机器人 / 具身智能与机器人,4
学习成长 / AI / AI,人工智能与机器人 / 大语言模型与智能体,9
学习成长 / AI / AI,人工智能与机器人 / 强化学习,1
学习成长 / AI / AI,人工智能与机器人 / 机器学习基础,3
学习成长 / AI / AI,人工智能与机器人 / 深度学习,2
学习成长 / AI / AI,人工智能与机器人 / 生成式与多模态,4
学习成长 / AI / AI,学习与研究 / 社区与资讯,3
学习成长 / AI / AI,学习与研究 / 论文阅读,2
学习成长 / AI / AI,学习与研究 / 课程与学习资源,3
学习成长 / AI / AI,计算机科学基础 / 系统与体系结构,1
学习成长 / AI / AI,计算机科学基础 / 网络与分布式,1
学习成长 / AI / AI,软件开发与工程 / 图形学与可视化,1
学习成长 / AI / AI,软件开发与工程 / 安全工程,1
学习成长 / AI / AI,软件开发与工程 / 开源项目与工程实践,1
学习成长 / AI / CPU,计算机科学基础 / 系统与体系结构,3
学习成长 / AI / CUDA,人工智能与机器人 / AI工程与系统,1
学习成长 / AI / Diffusion,人工智能与机器人 / 生成式与多模态,2
学习成长 / AI / Security Engineering,软件开发与工程 / 安全工程,1
学习成长 / AI / 学习记录,学习与研究 / 知识管理与写作,1
学习成长 / AI / 学习记录,学习与研究 / 课程与学习资源,2
学习成长 / AI / 技术文档,学习与研究 / 课程与学习资源,3
学习成长 / AI / 技术文档,计算机科学基础 / 网络与分布式,2
学习成长 / AI / 技术文档,软件开发与工程 / Web与后端,2
学习成长 / AI / 技术文档,软件开发与工程 / 安全工程,1
学习成长 / AI / 新闻交流,人工智能与机器人 / 大语言模型与智能体,1
学习成长 / AI / 新闻交流,学习与研究 / 社区与资讯,1
学习成长 / AI / 新闻交流,计算机科学基础 / 网络与分布式,1
学习成长 / AI / 新闻交流,软件开发与工程 / 安全工程,1
学习成长 / AI / 架构,软件开发与工程 / 开源项目与工程实践,1
学习成长 / AI / 社区论坛,学习与研究 / 社区与资讯,2
学习成长 / AI / 编程,人工智能与机器人 / AI工程与系统,2
学习成长 / AI / 编程,计算机科学基础 / 编程与算法,4
学习成长 / 人生经验 / 人生经验,成长与职业 / 人生经验,13
学习成长 / 写作 / 写作,成长与职业 / 阅读与随笔,2
学习成长 / 写作 / 知识科普,成长与职业 / 阅读与随笔,2
学习成长 / 工作就业 / 工作就业,成长与职业 / 职业发展,4
学习成长 / 技术观点 / 技术观点,人工智能与机器人 / 具身智能与机器人,2
学习成长 / 技术观点 / 技术观点,人工智能与机器人 / 大语言模型与智能体,10
学习成长 / 技术观点 / 技术观点,人工智能与机器人 / 机器学习基础,2
学习成长 / 技术观点 / 技术观点,人工智能与机器人 / 深度学习,2
学习成长 / 技术观点 / 技术观点,学习与研究 / 技术观点,2
学习成长 / 技术观点 / 技术观点,学习与研究 / 知识管理与写作,1
学习成长 / 技术观点 / 技术观点,学习与研究 / 社区与资讯,1
学习成长 / 技术观点 / 技术观点,学习与研究 / 课程与学习资源,1
学习成长 / 技术观点 / 技术观点,成长与职业 / 职业发展,2
学习成长 / 技术观点 / 技术观点,计算机科学基础 / 系统与体系结构,2
学习成长 / 技术观点 / 技术观点,计算机科学基础 / 编程与算法,9
学习成长 / 技术观点 / 技术观点,计算机科学基础 / 网络与分布式,4
学习成长 / 技术观点 / 技术观点,软件开发与工程 / Web与后端,2
学习成长 / 技术观点 / 技术观点,软件开发与工程 / 图形学与可视化,1
学习成长 / 技术观点 / 技术观点,软件开发与工程 / 开源项目与工程实践,1
学习成长 / 科研学习 / 科研学习,人工智能与机器人 / 大语言模型与智能体,8
学习成长 / 科研学习 / 科研学习,人工智能与机器人 / 深度学习,1
学习成长 / 科研学习 / 科研学习,学习与研究 / 科研方法,47
学习成长 / 论文阅读 / 论文阅读,学习与研究 / 论文阅读,20
学习成长 / 读书分享 / 读书分享,成长与职业 / 阅读与随笔,9
开发 / 后端 / 前端,软件开发与工程 / Web与后端,1
开发 / 后端 / 后端,软件开发与工程 / Web与后端,3
开发 / 图形学 / 图形学,软件开发与工程 / 图形学与可视化,5
开发 / 工具 / 工具 / AITool,人工智能与机器人 / AI工程与系统,16
开发 / 工具 / 工具 / AITool,人工智能与机器人 / 具身智能与机器人,1
开发 / 工具 / 工具 / AITool,人工智能与机器人 / 大语言模型与智能体,2
开发 / 工具 / 工具 / Arch,软件开发与工程 / 开发环境与基础设施,1
开发 / 工具 / 工具 / Docker,软件开发与工程 / 开发环境与基础设施,4
开发 / 工具 / 工具 / GDB,软件开发与工程 / 开发环境与基础设施,1
开发 / 工具 / 工具 / Git,软件开发与工程 / 开发环境与基础设施,3
开发 / 工具 / 工具 / LaTex/Tex,软件开发与工程 / 开发工具与效率,5
开发 / 工具 / 工具 / Markdown,软件开发与工程 / 开发工具与效率,3
开发 / 工具 / 工具 / Mind Map,软件开发与工程 / 开发工具与效率,1
开发 / 工具 / 工具 / OCR,软件开发与工程 / 开发工具与效率,2
开发 / 工具 / 工具 / PDF,软件开发与工程 / 开发工具与效率,2
开发 / 工具 / 工具 / Paper tool,软件开发与工程 / 开发工具与效率,4
开发 / 工具 / 工具 / Pytorch,人工智能与机器人 / AI工程与系统,2
开发 / 工具 / 工具 / RSS,软件开发与工程 / 开发工具与效率,2
开发 / 工具 / 工具 / ShellCrash,软件开发与工程 / 开发环境与基础设施,1
开发 / 工具 / 工具 / Tensorboard,人工智能与机器人 / AI工程与系统,1
开发 / 工具 / 工具 / VPS,软件开发与工程 / 开发环境与基础设施,1
开发 / 工具 / 工具 / obsidia,软件开发与工程 / 开发工具与效率,8
开发 / 工具 / 工具 / 其他,人工智能与机器人 / AI工程与系统,1
开发 / 工具 / 工具 / 其他,人工智能与机器人 / 大语言模型与智能体,1
开发 / 工具 / 工具 / 其他,软件开发与工程 / 开发工具与效率,16
开发 / 工具 / 工具 / 环境配置,人工智能与机器人 / AI工程与系统,1
开发 / 工具 / 工具 / 环境配置,人工智能与机器人 / 大语言模型与智能体,5
开发 / 工具 / 工具 / 环境配置,软件开发与工程 / 开发环境与基础设施,12
开发 / 工具 / 工具 / 翻译,软件开发与工程 / 开发工具与效率,1
开发 / 工具 / 工具 / 静态网站部署,软件开发与工程 / 开发环境与基础设施,4
开发 / 教程 / 单片机,软件开发与工程 / 嵌入式与硬件开发,1
开发 / 教程 / 教程,软件开发与工程 / 嵌入式与硬件开发,2
开发 / 项目 / 项目,人工智能与机器人 / 具身智能与机器人,2
开发 / 项目 / 项目,人工智能与机器人 / 大语言模型与智能体,8
开发 / 项目 / 项目,人工智能与机器人 / 强化学习,4
开发 / 项目 / 项目,人工智能与机器人 / 深度学习,1
开发 / 项目 / 项目,人工智能与机器人 / 生成式与多模态,1
开发 / 项目 / 项目,软件开发与工程 / Web与后端,1
开发 / 项目 / 项目,软件开发与工程 / 图形学与可视化,2
开发 / 项目 / 项目,软件开发与工程 / 开源项目与工程实践,18
开发 / 项目 / 项目/Paper,软件开发与工程 / 图形学与可视化,1
待整理 / 暂时难以整理 / 暂时难以整理,学习与研究 / 课程与学习资源,1
待整理 / 暂时难以整理 / 暂时难以整理,成长与职业 / 职业发展,1
待整理 / 暂时难以整理 / 暂时难以整理,软件开发与工程 / 开源项目与工程实践,1
总结 / 周结 / 周结 / 2025年10月,成长与职业 / 学习记录与总结,2
总结 / 周结 / 周结 / 2025年10月 / 2024年12月,成长与职业 / 学习记录与总结,5
总结 / 周结 / 周结 / 2025年10月 / 2025年1月,成长与职业 / 学习记录与总结,3
总结 / 周结 / 周结 / 2025年10月 / 2025年2月,成长与职业 / 学习记录与总结,8
总结 / 周结 / 周结 / 2025年10月 / 2025年3月,成长与职业 / 学习记录与总结,18
总结 / 周结 / 周结 / 2025年10月 / 2025年4月,成长与职业 / 学习记录与总结,16
总结 / 周结 / 周结 / 2025年10月 / 2025年5月,成长与职业 / 学习记录与总结,18
总结 / 周结 / 周结 / 2025年10月 / 2025年6月,成长与职业 / 学习记录与总结,11
总结 / 周结 / 周结 / 2025年10月 / 2025年7月,成长与职业 / 学习记录与总结,5
总结 / 周结 / 周结 / 2025年10月 / 2025年9月,成长与职业 / 学习记录与总结,1
总结 / 周结 / 周结 / 2025年11月,成长与职业 / 学习记录与总结,1
总结 / 周结 / 周结 / 2025年12月,成长与职业 / 学习记录与总结,2
总结 / 周结 / 周结 / 2026年3月,成长与职业 / 学习记录与总结,1
总结 / 过程总结 / 过程总结 / 其他,成长与职业 / 学习记录与总结,11
总结 / 过程总结 / 过程总结 / 季结,成长与职业 / 学习记录与总结,1
总结 / 过程总结 / 过程总结 / 学期总结,成长与职业 / 学习记录与总结,9
总结 / 过程总结 / 过程总结 / 年度总结,成长与职业 / 学习记录与总结,6
总结 / 过程总结 / 过程总结 / 月结,成长与职业 / 学习记录与总结,4
计算机科学 / 6.S081 / 6.S081,计算机科学基础 / 系统与体系结构,4
计算机科学 / 6.S081 / SJTU-IPADS,计算机科学基础 / 系统与体系结构,3
计算机科学 / C++ / C++,计算机科学基础 / 编程与算法,2
计算机科学 / C++ / C++ / CS106B,计算机科学基础 / 编程与算法,3
计算机科学 / C++ / C++ / CS61A,计算机科学基础 / 编程与算法,1
计算机科学 / C++ / C++ / CS61C,计算机科学基础 / 编程与算法,4
计算机科学 / Digital Design and Computer Architecture / CSAPP,计算机科学基础 / 系统与体系结构,2
计算机科学 / Digital Design and Computer Architecture / Digital Design and Computer Architecture,计算机科学基础 / 系统与体系结构,1
