record_id,source_path,source_line,original_title,original_description,url,original_category,check_status_code,check_result,check_final_url,check_page_title,check_page_h1,check_page_description,check_error,title_similarity
0c8289fc776f366f,docs/AI/AI应用/具身智能.md,11,入坑具身智能？把这几节课学了就够了！ - 许华哲Harry,,http://xhslink.com/a/diYw6JYO9At6,人工智能 / 具身智能 / 具身智能,200,accessible,https://www.xiaohongshu.com/explore,小红书 - 你的生活兴趣社区,,,,0.0
546f9e2417a5bcdf,docs/AI/AI应用/具身智能.md,14,具身智能/机器人实习、硕博信息,,https://github.com/StarCycle/Awesome-Embodied-AI-Job,人工智能 / 具身智能 / 具身智能,200,accessible,https://github.com/StarCycle/Awesome-Embodied-AI-Job,"GitHub - StarCycle/Awesome-Embodied-AI-Job: Lumina Robotics Talent Call | Lumina社区具身智能招贤榜 | A list for Embodied AI / Robotics Jobs (PhD, RA, intern, etc · GitHub","Search code, repositories, users, issues, pull requests...","Lumina Robotics Talent Call | Lumina社区具身智能招贤榜 | A list for Embodied AI / Robotics Jobs (PhD, RA, intern, etc - GitHub - StarCycle/Awesome-Embodied-AI-Job: Lumina Robotics Talent Call | Lumina社区具身智能招贤榜 | A list for Embodied AI / Robotics Jobs (PhD, RA, intern, etc",,0.058
5a0ac2f3b82ecb5a,docs/AI/AI应用/具身智能.md,15,具身智能入门指南,,https://github.com/TianxingChen/Embodied-AI-Guide,人工智能 / 具身智能 / 具身智能,200,accessible,https://github.com/TianxingChen/Embodied-AI-Guide,GitHub - TianxingChen/Embodied-AI-Guide: [Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide · GitHub,"Search code, repositories, users, issues, pull requests...",[Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide. Contribute to TianxingChen/Embodied-AI-Guide development by creating an account on GitHub.,,0.146
02b25eee67061505,docs/AI/AI理论基础.md,27,动手学深度学习,,https://www.notion.so/29016f705b8d802d8662c5f561d9008c,人工智能 / RL / DL / 其他,200,accessible,https://app.notion.com/p/29016f705b8d802d8662c5f561d9008c,Notion,,"A collaborative AI workspace, built on your company context. Build and orchestrate agents right alongside your team's projects, meetings, and connected apps.",,0.0
0bb8baa9ca19f9f7,docs/AI/AI理论基础.md,28,动手学深度学习笔记：CNN、RNN、CV、NLP,,https://silkyfinish.github.io/tags/Deep-Learning/,人工智能 / RL / DL / 其他,200,accessible,https://silkyfinish.github.io/tags/Deep-Learning/,Tag: Deep Learning | SilkyFinish,Deep Learning Tag,冲天香阵透长安，满城尽带黄金甲,,0.174
b8c2eff5492bfc7e,docs/AI/AI理论基础.md,65,OpenAI DRL,,https://spinningup.openai.com/en/latest/user/introduction.html,人工智能 / RL / DRL / 其他,200,accessible,https://spinningup.openai.com/en/latest/user/introduction.html,Introduction &mdash; Spinning Up documentation,Introduction Â¶,,,0.245
23627704b07c255d,docs/AI/AI理论基础.md,74,Machine Learning Systems课程,,https://mlsyscourse.org/schedule,人工智能 / RL / ML,200,accessible,https://mlsyscourse.org/schedule,15-442/15-642 | Schedule,Schedule,,,0.238
d6a1d4d4fd7dc5f8,docs/AI/AI理论基础.md,75,Machine Learninng,,https://arxiv.org/abs/2405.16444,人工智能 / RL / ML,200,accessible,https://arxiv.org/abs/2405.16444,[2405.16444] CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion,Computer Science > Machine Learning,Abstract page for arXiv paper 2405.16444: CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion,,0.189
f0d2957894d8da87,docs/AI/大语言模型/AI-Agent智能体.md,11,从 0.5 开始的 AI Agent 学习之旅,,https://www.notion.so/0-5-AI-Agent-2eceda5b79ad806c8e88e313b5cae2e7,人工智能 / 教程 / 教程,200,accessible,https://app.notion.com/p/0-5-AI-Agent-2eceda5b79ad806c8e88e313b5cae2e7,Notion,,"A collaborative AI workspace, built on your company context. Build and orchestrate agents right alongside your team's projects, meetings, and connected apps.",,0.174
2f2cc123710cce85,docs/AI/大语言模型/AI-Agent智能体.md,12,Camel的Multi-Agent中文教程文档,,https://fmhw1n4zpn.feishu.cn/docx/AF4XdOZpIo6TOaxzDK8cxInNnCe,人工智能 / 教程 / 教程,200,accessible,https://my.feishu.cn/docx/AF4XdOZpIo6TOaxzDK8cxInNnCe,Docs,,,,0.077
