record_id,source_path,source_line,source_occurrence,original_title,original_description,url,normalized_url,domain,top_category,page_title,heading_path,original_category,syntax,parse_status,exact_duplicate
7d09a65de9324582,docs/AI/AI应用/具身智能.md,15,0,具身智能技术指南 Embodied-AI-Guide,面向具身智能初学者的中文知识库与资料索引，涵盖操作实践、算法、软件基础设施、控制和硬件等主题。,https://github.com/TianxingChen/Embodied-AI-Guide,https://github.com/TianxingChen/Embodied-AI-Guide,github.com,人工智能,具身智能,具身智能,人工智能 / 具身智能 / 具身智能,markdown,valid,True
50e0f25c4c3d2141,docs/AI/AI应用/具身智能.md,28,0,具身智能技术指南 Embodied-AI-Guide,面向具身智能初学者的中文知识库与资料索引，涵盖操作实践、算法、软件基础设施、控制和硬件等主题。,https://github.com/TianxingChen/Embodied-AI-Guide,https://github.com/TianxingChen/Embodied-AI-Guide,github.com,人工智能,具身智能,具身智能 / 相关资料,人工智能 / 具身智能 / 具身智能 / 相关资料,markdown,valid,True
3a7957e49b745fdc,docs/AI/AI理论基础.md,12,0,Reward Hacking in Reinforcement Learning - Lil'Log,,https://lilianweng.github.io/posts/2024-11-28-reward-hacking/,https://lilianweng.github.io/posts/2024-11-28-reward-hacking,lilianweng.github.io,人工智能,强化学习（RL）,强化学习（RL）,人工智能 / 强化学习（RL） / 强化学习（RL）,markdown,valid,True
8996431ce1c7311a,docs/AI/AI理论基础.md,84,0,Mathematical-Foundation-of-Reinforcement-Learning,,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,github.com,人工智能,强化学习（RL）,机器学习（ML）,人工智能 / 强化学习（RL） / 机器学习（ML）,markdown,valid,True
d94ba176b1674852,docs/AI/大语言模型/LLM原理.md,32,0,大模型核心概念科普：Token、上下文长度、最大输出，一次讲透,,https://zhuanlan.zhihu.com/p/27598806064,https://zhuanlan.zhihu.com/p/27598806064,zhuanlan.zhihu.com,人工智能,LLM,LLM / 相关资料,人工智能 / LLM / LLM / 相关资料,markdown,valid,True
27e4e80f3f3a5f30,docs/AI/大语言模型/LLM原理.md,43,0,大模型核心概念科普：Token、上下文长度、最大输出，一次讲透,,https://zhuanlan.zhihu.com/p/27598806064,https://zhuanlan.zhihu.com/p/27598806064,zhuanlan.zhihu.com,人工智能,LLM,LLM / 相关资料,人工智能 / LLM / LLM / 相关资料,markdown,valid,True
37ed561204b68582,docs/AI/算法与实现.md,10,0,NLP总结,,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93/,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93,frederick2313072.github.io,人工智能,算法,算法,人工智能 / 算法 / 算法,markdown,valid,True
87334b11bd526b3f,docs/AI/算法与实现.md,12,0,RNN,,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN/,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN,krisonzhang.cn,人工智能,算法,算法,人工智能 / 算法 / 算法,markdown,valid,True
3c356b2759cb770d,docs/AI/算法与实现.md,13,0,Vanilla RNN,,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN/,https://krisonzhang.cn/2025/04/06/Vanilla%20RNN,krisonzhang.cn,人工智能,算法,算法,人工智能 / 算法 / 算法,markdown,valid,True
4bd8b6409b59e35f,docs/AI/算法与实现.md,15,0,NLP 总结,,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93/,https://frederick2313072.github.io/blog/2025-05-27-nlp%E6%80%BB%E7%BB%93,frederick2313072.github.io,人工智能,算法,算法,人工智能 / 算法 / 算法,markdown,valid,True
